articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc
2543135346,월드메르디앙,매매,고/30,"7억 7,000",118,84,남향,"7억 7,000"
2543075256,월드메르디앙,매매,중/30,"6억 7,000",113,84,남향,"6억 7,000"
2544867709,월드메르디앙,매매,중/25,"8억 7,000",191,155,남향,"8억 7,000"
2548594757,월드메르디앙,매매,고/30,"7억 7,000",118,84,남향,"7억 7,000"
2548553349,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2548595261,월드메르디앙,매매,중/26,"6억 5,000",105,76,남향,"6억 5,000"
2548555180,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2548613226,월드메르디앙,매매,저/27,"6억 5,000",105,76,남향,"6억 5,000"
2548194294,월드메르디앙,매매,중/25,8억,191,155,남향,8억
2548185704,월드메르디앙,매매,중/30,7억,118,84,남향,7억
2547211883,월드메르디앙,전세,1/30,"4억 5,000",118,84,남향,"4억 5,000"
2547212977,월드메르디앙,매매,1/30,"6억 8,000",118,84,남향,"6억 8,000"
2547123364,월드메르디앙,매매,중/30,"6억 9,000",118,84,남동향,"6억 9,000"
2547214296,월드메르디앙,매매,중/26,"6억 5,000",105,76,남향,"6억 5,000"
2543133238,월드메르디앙,매매,3/30,"6억 9,000",118,84,남동향,"6억 9,000"
2543137339,월드메르디앙,매매,저/27,"7억 1,000",131,101,남향,"7억 1,000"
2543103558,월드메르디앙,매매,저/30,7억,118,84,남향,7억
2543137066,월드메르디앙,매매,27/27,8억,131,101,남향,8억
2543103919,월드메르디앙,매매,중/30,8억,156,122,남향,8억
2543099871,월드메르디앙,매매,10/27,"6억 3,500",105,76,남향,"6억 3,500"
2548968307,마포자이,매매,4/19,25억,108,84,남동향,25억
2548936847,마포자이,매매,4/19,25억,108,84,남동향,25억
2548893933,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548801543,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2548991118,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548786949,마포자이,매매,7/19,"25억 5,000",108,84,남서향,"25억 5,000"
2548765782,마포자이,매매,11/20,25억,108,84,남동향,25억
2548550019,마포자이,매매,5/19,27억,135,113,남동향,27억
2548556346,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548800861,마포자이,매매,고/25,29억,189,157,남서향,29억
2548712611,마포자이,매매,중/20,"27억 5,000",135,113,남동향,"27억 5,000"
2547420766,마포자이,매매,11/20,25억,108,84,남동향,25억
2547334951,마포자이,매매,5/19,27억,135,113,남동향,27억
2548445280,마포자이,매매,중/25,"26억 5,000",135,113,남서향,"26억 5,000"
2548757956,마포자이,매매,4/19,25억,108,84,남동향,25억
2548924715,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548924743,마포자이,매매,4/19,25억,108,84,남동향,25억
2549048489,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2548924779,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548989847,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548721108,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548713152,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548721276,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548795626,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548795215,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548720906,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2548171377,마포자이,매매,중/25,"26억 5,000",135,113,남서향,"26억 5,000"
2548777861,마포자이,매매,4/19,25억,108,84,남동향,25억
2548738033,마포자이,매매,5/19,27억,135,113,남동향,27억
2548712568,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548592274,마포자이,매매,5/19,27억,135,113,남동향,27억
2548388182,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548462503,마포자이,매매,4/19,25억,108,84,남동향,25억
2548592060,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548555366,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2548390315,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2548388273,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548587443,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2547814004,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2547824485,마포자이,매매,5/19,27억,135,113,남동향,27억
2548219600,마포자이,매매,4/19,25억,108,84,남서향,25억
2548267390,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2547683172,마포자이,매매,14/19,"25억 3,000",108,84,남동향,"25억 3,000"
2547756986,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
2547713004,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2548796364,마포자이,매매,저/19,27억,135,113,남동향,27억
2547339917,마포자이,매매,5/19,27억,135,113,남동향,27억
2546618498,마포자이,매매,고/25,29억,189,157,남서향,29억
2546980103,마포자이,매매,7/19,"25억 5,000",108,84,남서향,"25억 5,000"
2547253261,마포자이,매매,7/19,"25억 5,000",108,84,남서향,"25억 5,000"
2546910670,마포자이,매매,7/19,"25억 5,000",108,84,남동향,"25억 5,000"
2544583901,마포자이,매매,13/25,"29억 5,000",189,157,남서향,"29억 5,000"
