매물번호,아파트명,거래타입,층,가격,정렬용가격,공급면적,전용면적,공급면적(평수),전용면적(평수),방향,세대수,준공년도
2618873159,마포프레스티지자이,전세,중/27,"9억 5,000",95000,81,59,24.5,17.8,남서향,1694,20211230
2618463159,마포프레스티지자이,전세,12/27,"12억 5,000",125000,112,84,33.9,25.4,남향,1694,20211230
2616534975,마포프레스티지자이,전세,저/21,19억,190000,150,114,45.4,34.5,남향,1694,20211230
2618309478,마포한화오벨리스크(주상복합),매매,4/37,5억,50000,47,36,14.2,10.9,남동향,662,20041008
2618565912,마포한화오벨리스크(주상복합),매매,6/37,"5억 5,000",55000,48,36,14.5,10.9,남향,662,20041008
2618568106,마포한화오벨리스크(주상복합),매매,4/37,"5억 3,000",53000,49,38,14.8,11.5,남향,662,20041008
2618568672,마포한화오벨리스크(주상복합),매매,5/37,"5억 5,000",55000,50,38,15.1,11.5,남서향,662,20041008
2618567591,마포한화오벨리스크(주상복합),매매,3/37,6억,60000,51,39,15.4,11.8,북서향,662,20041008
2618836141,마포한화오벨리스크(주상복합),매매,5/37,"6억 1,000",61000,53,41,16.0,12.4,남향,662,20041008
2618999152,마포한화오벨리스크(주상복합),매매,5/37,"7억 5,000",75000,64,49,19.4,14.8,서향,662,20041008
2618835431,마포한화오벨리스크(주상복합),매매,18/37,"10억 5,000",105000,76,59,23.0,17.8,남동향,662,20041008
2618567506,마포한화오벨리스크(주상복합),매매,중/37,"11억 5,000",115000,98,75,29.6,22.7,남향,662,20041008
2618569916,마포한화오벨리스크(주상복합),매매,16/37,16억,160000,104,79,31.5,23.9,북서향,662,20041008
2618565666,마포한화오벨리스크(주상복합),매매,중/37,14억,140000,106,82,32.1,24.8,서향,662,20041008
2618836159,마포한화오벨리스크(주상복합),매매,18/37,17억,170000,110,85,33.3,25.7,서향,662,20041008
2618835219,마포한화오벨리스크(주상복합),매매,37/37,27억,270000,162,125,49.0,37.8,남향,662,20041008
2612912052,마포한화오벨리스크(주상복합),전세,저/37,"4억 2,000",42000,50,38,15.1,11.5,서향,662,20041008
2615441846,마포한화오벨리스크(주상복합),전세,28/37,8억,80000,106,82,32.1,24.8,남향,662,20041008
2617648996,삼성,매매,1/17,"17억 5,000",175000,90,72,27.2,21.8,남동향,982,19970516
2615282023,삼성,매매,13/17,"19억 5,000",195000,104,84,31.5,25.4,남서향,982,19970516
2617658591,삼성,매매,저/17,23억,230000,158,136,47.8,41.1,남동향,982,19970516
2613490155,삼성,매매,저/17,24억,240000,159,136,48.1,41.1,남동향,982,19970516
2616649999,삼성,전세,3/17,"8억 2,000",82000,90,72,27.2,21.8,남동향,982,19970516
2614923987,삼성,전세,10/17,"8억 6,000",86000,104,84,31.5,25.4,남서향,982,19970516
2615837062,삼성,전세,5/17,"11억 5,000",115000,158,136,47.8,41.1,남동향,982,19970516
2618414410,삼성래미안공덕2차,매매,중/20,"18억 1,000",181000,80,59,24.2,17.8,남서향,683,20040629
2618279688,삼성래미안공덕2차,매매,저/20,"18억 2,000",182000,110,84,33.3,25.4,남동향,683,20040629
2617268902,삼성래미안공덕2차,매매,3/20,22억,220000,144,114,43.6,34.5,남동향,683,20040629
2616105624,삼성래미안공덕2차,전세,저/20,7억,70000,110,84,33.3,25.4,남동향,683,20040629
2617447723,삼성래미안공덕2차,전세,8/20,9억,90000,144,114,43.6,34.5,남동향,683,20040629
2618304396,상록,매매,7/20,12억,120000,69,49,20.9,14.8,남동향,678,19970830
2618919682,상록,매매,15/20,14억,140000,81,57,24.5,17.2,남서향,678,19970830
2614236053,상록,매매,4/20,"12억 8,000",128000,83,58,25.1,17.5,남서향,678,19970830
2614586354,상록,전세,13/21,"5억 5,000",55000,69,49,20.9,14.8,남동향,678,19970830
2618303094,상록,전세,13/20,"5억 2,000",52000,83,58,25.1,17.5,남향,678,19970830
2619074734,서강쌍용예가,매매,1/12,"16억 8,000",168000,83,59,25.1,17.8,남동향,635,20071101
2618557656,서강쌍용예가,매매,저/15,"19억 5,000",195000,107,84,32.4,25.4,남향,635,20071101
2618158950,서강쌍용예가,매매,저/12,20억,200000,108,84,32.7,25.4,남향,635,20071101
2619091759,서강쌍용예가,매매,고/12,25억,250000,149,119,45.1,36.0,남동향,635,20071101
2617973424,서강쌍용예가,전세,7/15,"8억 5,000",85000,107,84,32.4,25.4,동향,635,20071101
2617840189,신공덕삼성래미안1차,매매,4/23,"18억 4,000",184000,81,59,24.5,17.8,남서향,834,20000814
2618957820,신공덕삼성래미안1차,매매,8/22,21억,210000,109,84,33.0,25.4,남서향,834,20000814
2614787253,신공덕삼성래미안1차,매매,3/21,22억,220000,142,114,43.0,34.5,남동향,834,20000814
2617332904,신공덕삼성래미안1차,전세,17/22,7억,70000,81,59,24.5,17.8,남서향,834,20000814
2616662902,신공덕삼성래미안1차,전세,18/21,"8억 3,000",83000,109,84,33.0,25.4,남서향,834,20000814
2619054606,신촌숲아이파크,매매,저/35,"21억 3,000",213000,85,59,25.7,17.8,남동향,1015,20190829
2618959971,신촌숲아이파크,매매,저/24,"23억 5,000",235000,115,84,34.8,25.4,남동향,1015,20190829
2615846021,신촌숲아이파크,매매,중/35,31억,310000,144,111,43.6,33.6,남향,1015,20190829
2619088460,신촌숲아이파크,전세,중/35,"11억 5,000",115000,115,84,34.8,25.4,남동향,1015,20190829
2618074094,염리삼성래미안,매매,중/17,16억,160000,81,59,24.5,17.8,남동향,574,20010328
2618909198,염리삼성래미안,매매,중/17,18억,180000,84,59,25.4,17.8,남동향,574,20010328
2618345026,염리삼성래미안,매매,중/17,21억,210000,108,84,32.7,25.4,남동향,574,20010328
2618370755,염리삼성래미안,매매,저/17,20억,200000,109,84,33.0,25.4,남향,574,20010328
2618911968,염리삼성래미안,매매,고/17,"22억 5,000",225000,141,114,42.7,34.5,남향,574,20010328
2618346110,염리삼성래미안,전세,저/17,"9억 2,000",92000,109,84,33.0,25.4,남향,574,20010328
2618891657,창전삼성(창전래미안),매매,저/20,14억,140000,79,59,23.9,17.8,남서향,951,19980624
2618898297,창전삼성(창전래미안),매매,저/20,15억,150000,108,84,32.7,25.4,남동향,951,19980624
2618681456,창전삼성(창전래미안),매매,9/20,"17억 5,000",175000,141,114,42.7,34.5,남동향,951,19980624
2618891234,창전삼성(창전래미안),전세,고/20,"7억 3,000",73000,108,84,32.7,25.4,남동향,951,19980624
2614638835,태영,매매,2/18,15억,150000,105,84,31.8,25.4,남서향,553,20031128
2617138751,태영,전세,6/21,7억,70000,105,84,31.8,25.4,남서향,553,20031128
2618814019,현대홈타운,매매,14/20,"15억 5,000",155000,79,59,23.9,17.8,동향,914,20000311
2619044107,현대홈타운,매매,18/20,"17억 5,000",175000,107,84,32.4,25.4,남향,914,20000311
2619028631,현대홈타운,매매,10/20,"17억 5,000",175000,139,113,42.0,34.2,남동향,914,20000311
