articleNo,articleName,tradeTypeName,floorInfo,dealOrWarrantPrc,area1,area2,direction,sameAddrMaxPrc,totalHouseholdCount,useApproveYmd
2617480791,래미안공덕3차,전세,16/16,"8억 3,000",80,59,동향,"8억 3,000",616,20040830
2617461810,래미안공덕3차,전세,16/16,"8억 3,000",80,59,동향,"8억 3,000",616,20040830
2617125120,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617220229,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617206705,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2617264689,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2617282965,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617300959,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617279916,래미안공덕3차,매매,1/20,21억,80,59,남서향,21억,616,20040830
2617295659,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617206589,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617285172,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2617259950,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617206870,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2617190729,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617157904,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2617134701,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2617084354,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617230440,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2617228974,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617134326,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2617173653,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2617074931,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2616137677,래미안공덕3차,전세,중/20,12억,136,114,남동향,12억,616,20040830
2617008566,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2616999950,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2616994429,래미안공덕3차,매매,10/20,"21억 2,000",80,59,남서향,"21억 2,000",616,20040830
2616128440,래미안공덕3차,매매,고/20,21억,80,59,남서향,"21억 5,000",616,20040830
2614788785,래미안공덕3차,매매,1/20,"19억 8,000",80,59,남서향,21억,616,20040830
2616719657,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2616719179,래미안공덕3차,매매,13/20,22억,80,59,남동향,22억,616,20040830
2616720212,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2616720986,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남동향,"26억 5,000",616,20040830
2616719959,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2616779785,래미안공덕3차,매매,10/20,"20억 6,000",80,59,남서향,"21억 2,000",616,20040830
2616719477,래미안공덕3차,매매,14/20,22억,80,59,남서향,22억,616,20040830
2616779477,래미안공덕3차,매매,13/20,"21억 9,000",80,59,남서향,22억,616,20040830
2616719864,래미안공덕3차,매매,18/20,"26억 5,000",136,114,남서향,"26억 5,000",616,20040830
2616780195,래미안공덕3차,매매,7/20,22억,80,59,남서향,22억,616,20040830
2616793292,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2616720803,래미안공덕3차,매매,1/20,"19억 2,000",80,59,남서향,"19억 2,000",616,20040830
2616720447,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
2616663965,래미안공덕3차,매매,19/20,21억,80,59,남서향,"21억 5,000",616,20040830
